#|season|week|title|OT A|PS A|NT A|GS A|OT B|PS B|NT B|GS B|OT C|PS C|NT C|GS C|
easterDay|3|Easter Day: Evening Service|Dan 12:1-3|Ps 136|1 Cor 5:6-8|Lk 24:13-35|Dan 12:1-3|Ps 136|1 Cor 5:6-8|Lk 24:13-35|Dan 12:1-3|Ps 136|1 Cor 5:6-8|Lk 24:13-35
easterWeek|1|Monday of Easter Week|Acts 2:14,22-32|Ps 16||Mt 28:9-15|Acts 2:14,22-32|Ps 16||Mt 28:9-15|Acts 2:14,22-32|Ps 16||Mt 28:9-15
easterWeek|2|Tuesday of Easter Week|Acts 2:14,36-41|Ps 33:18-22||Jn 20:11-18|Acts 2:14,36-41|Ps 33:18-22||Jn 20:11-18|Acts 2:14,36-41|Ps 33:18-22||Jn 20:11-18
easterWeek|3|Wednesday of Easter Week|Acts 3:1-10|Ps 105:1-8||Lk 24:13-35|Acts 3:1-10|Ps 105:1-8||Lk 24:13-35|Acts 3:1-10|Ps 105:1-8||Lk 24:13-35
easterWeek|4|Thursday of Easter Week|Acts 3:11-26|Ps 8||Lk 24:36-49|Acts 3:11-26|Ps 8||Lk 24:36-49|Acts 3:11-26|Ps 8||Lk 24:36-49
easterWeek|5|Friday of Easter Week|1 Pet 1:3-9|Ps 116:1-8||Jn 21:1-14|1 Pet 1:3-9|Ps 116:1-8||Jn 21:1-14|1 Pet 1:3-9|Ps 116:1-8||Jn 21:1-14
easterWeek|6|Saturday of Easter Week|Acts 4:1-22|Ps 118:14-18||Mk 16:9-20|Acts 4:1-22|Ps 118:14-18||Mk 16:9-20|Acts 4:1-22|Ps 118:14-18||Mk 16:9-20
easter|2|The Second Sunday of Easter|Acts3:12a, 13-15,17-26 or Is 26:1-9,19|Ps 111|1 Jn 5:1-5|Jn 20:19-31|Acts3:12a, 13-15,17-26 or Is 26:1-9,19|Ps 111|1 Jn 5:1-5|Jn 20:19-31|Acts3:12a, 13-15,17-26 or Job 42:1-6|Ps 111|Rev 1:(1-8)9-19|Jn 20:19-31
easter|3|The Third Sunday of Easter|Acts 2:14a,36-47 or Is 43:1-12|Ps 116:10-17|1 Pet 1:13-25|Lk 24:13-35|Acts 4:5-14 or Mic 4:1-5|Ps 98 or Ps 98:1-5|1 Jn 1:1-2:2|Lk 24:36-49|Acts 9:1-19a or Jer 32:36-41|Ps 33 or Ps 33:1-11|Rev 5:(1-5)6-14|Jn 21:1-14
easter|4|The Fourth Sunday of Easter [Good Shepherd]|Acts 6:1-9, 7:2a,51-60 or Neh 9:(1-3)6-15|Ps 23|1 Pet 2:13-25|Jn 10:1-10|Acts 4:(23-31)32-37 or Ezek 34:1-10|Ps 23|1 Jn 3:1-10|Jn 10:11-16|Acts 13:14b-16, 26-39 or Num 27:12-23|Ps 100|Rev 7:9-17|Jn 10:22-30
easter|5|The Fifth Sunday of Easter|Acts 17:1-15 or Deut 6:20-25|Ps 66:1-11 or 66:1-8|1 Pet 2:1-12|Jn 14:1-14|Acts 8:26-40 or Deut 4:32-40|Ps 66:1-11 or 66:1-8|1 Jn 3:(11-17)18-24|Jn 14:15-21|Acts 13:44-52 or Lev 19:1-2,9-18|Ps 145 or Ps 145:1-9|Rev 19:1-9|Jn 13:31-35
easter|6|The Sixth Sunday of Easter [Rogation Sunday]|Acts 17:22-34 or Is 41:17-20|Ps 148 or Ps 148:7-14|1 Pet 3:8-18|Jn 15:1-11|Acts 11:19-30 or Is 45:11-13,18-19(20-25)|Ps 33 or Ps 33:1-8,18-22|1 Jn 4:7-21|Jn 15:9-17|Acts 14:8-18 or Joel 2:21-27|Ps 67|Rev 21:1-4,22-22:5|Jn 14:21-29
ascension|1|Ascension Day|Acts 1:1-11|Ps 47 or Ps 110:1-5|Eph 1:15-23|Lk 24:44-53 or Mk 16:9-20|Acts 1:1-11|Ps 47 or Ps 110:1-5|Eph 1:15-23|Lk 24:44-53 or Mk 16:9-20|Acts 1:1-11|Ps 47 or Ps 110:1-5|Eph 1:15-23|Lk 24:44-53 or Mk 16:9-20
easter|7|The Sunday after Ascension Day|Acts 1:(1-5)6-14 or Ezek 39:21-29|Ps 68:1-20 or 47|1 Pet 4 12-19|Jn 17:1-11|Acts 1:15-26 or Ex 28:1-4,9-10,29-30|Ps 68:1-20 or 47|1 Jn 5:6-15|Jn 17:11b-19|Acts 16:16-34 or 1 Sam 12:19-24|Ps 68:1-20 or 47|Rev 22:10-21|Jn 17:20-26 
proper|1|Pentecost |Acts 2:1-11|Ps 104:25-37 or 104:25-32|1 Cor 12:4-13|Jn 20:19-23 or Jn 14:8-17|Acts 2:1-11|Ps 104:25-37 or 104:25-32|1 Cor 12:4-13|Jn 20:19-23 or Jn 14:8-17|Acts 2:1-11|Ps 104:25-37 or 104:25-32|1 Cor 12:4-13|Jn 20:19-23 or Jn 14:8-17
proper|2|Trinity Sunday|Gen 1:1-2:3|Ps 150|2 Cor 13:5-14|Mt 28:16-20|Ex 3:1-6|Ps 93|Rom 8:12-17|Jn 3:1-16|Isaiah 6:1-7|Ps 29|Rev 4:1-11|Jn 16:(5-11)12-15
pentecostWeekday|1|Weekdays following the Sunday Closest to May 11|Ecclesiasticus 15:11-20|Ps 119:1-16|1 Cor 3:1-9|Mt 5:21-37|2 Kings 5:1-15ab|Ps 42|1 Cor 9:24-27|Mk 1:40-45|Jer 17:5-10|Ps 1|1 Cor 15:12-20|Lk 6:17-26
