#| Week of 1 advent
epiphany|1|2|special|Jan 9|121, 122, 123|131, 132|Isa. 45:14-19|Col. 1:24—2:7|John 8:12-19
epiphany|1|2|special|Jan 10|138, 139:1-17(18-23)|147|Jer. 23:1-8|Col. 2:8-23|John 10:7-17
epiphany|1|2|special|Jan 11|148, 150|91, 92|Isa. 55:3-9|Col. 3:1-17|John 14:6-14
epiphany|1|2|special|Jan 12|98, 99, [100]||Gen. 49:1-2,8-12|Col 3:18—4:6|John 15:1-16
epiphany|1|2|special|Eve of 1 Epiphany||104|Isa. 61:1-9|Gal. 3:23-29; 4:4-7|
#| Week of 1 Epiphany
epiphany|1|2|sunday|Sunday|146, 147|111, 112, 113|Gen. 1:1—2:3|Eph. 1:3-14|John 1:29-34
epiphany|1|2|monday|Monday|1, 2, 3|4, 7|Gen. 2:4-9(10-15)16-25|Heb. 1:1-14|John 1:1-18
epiphany|1|2|tuesday|Tuesday|5, 6|10, 11|Gen. 3:1-24|Heb. 2:1-10|John 1:19-28
epiphany|1|2|wednesday|Wednesday|119:1-24|12, 13, 14|Gen. 4:1-16|Heb. 2:11-18|John 1:(29-34 )35-42
epiphany|1|2|thursday|Thursday|18:1-20|18:21-50|Gen. 4:17-26|Heb. 3:1-11|John 1:43-51
epiphany|1|2|friday|Friday|16, 17|22|Gen. 6:1-8|Heb. 3:12-19|John 2:1-12
epiphany|1|2|saturday|Saturday|20, 21:1-7(8-14)|110:1-5(6-7), 116, 117|Gen. 6:9-22|Heb. 4:1-13|John 2:13-22
#| * The Psalms and Readings for the dated days after the Epiphany
#| are used only until the following Saturday evening.
#| 944 Daily Office Year One
#| Week of 2 Epiphany
epiphany|2|1|sunday|Sunday|148, 149, 150|114, 115|Isa. 43:14—44:5|Heb. 6:17—7:10|John 4:27-42
epiphany|2|1|monday|Monday|25|9, 15|Isa. 44:6-8, 21-23|Eph. 4:1-16|Mark 3:7-19a
epiphany|2|1|tuesday|Tuesday|26, 28|36, 39|Isa. 44:9-20|Eph. 4:17-32|Mark 3:19b-35
