#|Morning Prayer||Evening Prayer||||First Lesson|Second Lesson|First Lesson|Second Lesson
lent|6|Monday|Monday in Holy Week|Hos 13:1-14|John 14:1-14|Hos 14|John 14:15-end
lent|6|Tuesday|Tuesday in Holy Week|Isa 42:1-9|John 15:1-16|Wisd 2:1 & 12-end|John 15:17-end
lent|6|Wednesday|Wednesday in Holy Week|Num 21:4-9|John 16:1-15|Lev 16:2-24|John 16:16-end
lent|6|Thursday|Maundy Thursday|Lam 1:1-14 |John 17|Lam 3:1-33 |John 13:1-35
lent|6|Friday|Good Friday|Gen 22:1-18|John 18:1-32|Isa 50:4-10|John 19:38-end
lent|6|Saturday|Holy Saturday|Zech 9:9-12|1 Pet 2:11-end|Job 19:21-27|John 2:13-22
easter|1|Sunday|Easter Day|Exod 12:1-14|Rev 1:4-18|Exod 14:5-end|John 20:11-23
easter|1|Monday|Monday of Easter Week|Exod 15:1-18|Luke 24:1-12|Song of Solomon 1:1―2:7|Rev 7:9-end
easter|1|Tuesday|Tuesday of Easter Week|Isa 25:1-9|1 Pet 1:1-12|Song of Solomon 2:8-end|Matt 28:1-10
easter|1|Wednesday|Wednesday of Easter Week|Isa 61|1 Pet 1:13-end|Song of Solomon 3:1―4.:6a|John 21:1-14
easter|1|Thursday|Thursday of Easter Week|Job 14:1-15|1 Thess 4:13-end|Song of Solomon 4:16b―5 end|Mark 5:21-end
easter|1|Friday|Friday of Easter Week|Zeph 3:14-end|Acts 17:16-31|Song of Solomon 6:1―7.:0|Luke 7:11-17
easter|1|Saturday|Saturday of Easter Week|Jer 31:1-14|Acts 26:1-23|Song of Solomon 7:11―8 end|John 11:17-44
easter|2|Sunday|Second Sunday of Easter|Ezek 37:1-14|Luke 24:13-35|Exod 15:1-18|John 20:24-end
easter|2|Monday|Monday|Deut 1:(1-2) 3-18|Acts 1:1-14|Deut 1:19-end|Acts 1:15-end
easter|2|Tuesday|Tuesday|Deut 2:1-25|Acts 2:1-21|Deut 2:26―3:5|Acts 2:22-end
easter|2|Wednesday|Wednesday|Deut 3:(6-17) 18-end|Acts 3:1―4:4|Deut 4:1-24|Acts 4:5-31
easter|2|Thursday|Thursday|Deut 4:41-end|Acts 4:32―5.:1|Deut 5:1-21|Acts 5:12-end
easter|2|Friday|Friday|Deut 5:22-end|Acts 6:1-7, 16|Deut 6|Acts 7:17-34
